location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#date+start,#date+end
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,cereals and tubers,Maize meal (local),Marmite,actual,Retail,HTG,500,2024-01-15,2024-02-14
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,cereals and tubers,Sorghum,Marmite,actual,Retail,HTG,600,2024-01-15,2024-02-14
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,cereals and tubers,Wheat flour (imported),Marmite,actual,Retail,HTG,450,2024-01-15,2024-02-14
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,miscellaneous food,Sugar (white),Marmite,actual,Retail,HTG,650,2024-01-15,2024-02-14
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,oil and fats,"Oil (vegetable, imported)",Gallon,actual,Retail,HTG,2100,2024-01-15,2024-02-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,cereals and tubers,Maize meal (local),Marmite,actual,Retail,HTG,470,2024-01-15,2024-02-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,cereals and tubers,Wheat flour (imported),Marmite,actual,Retail,HTG,400,2024-01-15,2024-02-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,miscellaneous food,Sugar (white),Marmite,actual,Retail,HTG,1000,2024-01-15,2024-02-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,pulses and nuts,Beans (black),Marmite,actual,Retail,HTG,1050,2024-01-15,2024-02-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,pulses and nuts,Beans (red),Marmite,actual,Retail,HTG,1050,2024-01-15,2024-02-14
HTI,True,True,Grande'Anse,Jeremie,HT08,Grande'Anse,HT0811,Jeremie,2,Jeremie,18.62,-74.08,cereals and tubers,Maize meal (local),Marmite,actual,Retail,HTG,351.3,2024-01-15,2024-02-14
HTI,True,True,Grande'Anse,Jeremie,HT08,Grande'Anse,HT0811,Jeremie,2,Jeremie,18.62,-74.08,cereals and tubers,Pasta,350 G,actual,Retail,HTG,113.5,2024-01-15,2024-02-14
HTI,True,True,Grande'Anse,Jeremie,HT08,Grande'Anse,HT0811,Jeremie,2,Jeremie,18.62,-74.08,cereals and tubers,Sorghum,Marmite,actual,Retail,HTG,503.3,2024-01-15,2024-02-14
HTI,True,True,Grande'Anse,Jeremie,HT08,Grande'Anse,HT0811,Jeremie,2,Jeremie,18.62,-74.08,cereals and tubers,Wheat flour (imported),Marmite,actual,Retail,HTG,600,2024-01-15,2024-02-14
HTI,True,True,Grande'Anse,Jeremie,HT08,Grande'Anse,HT0811,Jeremie,2,Jeremie,18.62,-74.08,miscellaneous food,Sugar (white),Marmite,actual,Retail,HTG,1186.7,2024-01-15,2024-02-14
HTI,True,True,Grande'Anse,Jeremie,HT08,Grande'Anse,HT0811,Jeremie,2,Jeremie,18.62,-74.08,pulses and nuts,Beans (black),Marmite,actual,Retail,HTG,1191.7,2024-01-15,2024-02-14
HTI,True,True,North,Cap-Haitien,HT03,North,HT0311,Cap-Haitien,2,Cap-Haitien,19.76,-72.2,cereals and tubers,Pasta,350 G,actual,Retail,HTG,125,2024-01-15,2024-02-14
HTI,True,True,North,Cap-Haitien,HT03,North,HT0311,Cap-Haitien,2,Cap-Haitien,19.76,-72.2,cereals and tubers,Rice (local),Marmite,actual,Retail,HTG,1200,2024-01-15,2024-02-14
HTI,True,True,North,Cap-Haitien,HT03,North,HT0311,Cap-Haitien,2,Cap-Haitien,19.76,-72.2,cereals and tubers,Sorghum,Marmite,actual,Retail,HTG,900,2024-01-15,2024-02-14
HTI,True,True,North,Cap-Haitien,HT03,North,HT0311,Cap-Haitien,2,Cap-Haitien,19.76,-72.2,miscellaneous food,Sugar (white),Marmite,actual,Retail,HTG,900,2024-01-15,2024-02-14
HTI,True,True,North,Cap-Haitien,HT03,North,HT0311,Cap-Haitien,2,Cap-Haitien,19.76,-72.2,oil and fats,"Oil (vegetable, imported)",Gallon,actual,Retail,HTG,1750,2024-01-15,2024-02-14
HTI,True,True,North,Cap-Haitien,HT03,North,HT0311,Cap-Haitien,2,Cap-Haitien,19.76,-72.2,pulses and nuts,Beans (black),Marmite,actual,Retail,HTG,1200,2024-01-15,2024-02-14
HTI,True,True,North,Cap-Haitien,HT03,North,HT0311,Cap-Haitien,2,Cap-Haitien,19.76,-72.2,pulses and nuts,Beans (red),Marmite,actual,Retail,HTG,1600,2024-01-15,2024-02-14
HTI,True,True,North-East,Ouanaminthe,HT04,North-East,HT0421,Ouanaminthe,2,Ouanaminthe,19.55,-71.73,cereals and tubers,Wheat flour (imported),Marmite,actual,Retail,HTG,700,2024-01-15,2024-02-14
HTI,True,True,North-East,Ouanaminthe,HT04,North-East,HT0421,Ouanaminthe,2,Ouanaminthe,19.55,-71.73,miscellaneous food,Sugar (white),Marmite,actual,Retail,HTG,1050,2024-01-15,2024-02-14
HTI,True,True,North-West,Port-de-Paix,HT09,North-West,HT0911,Port-de-Paix,2,Port-de-Paix,19.94,-72.83,cereals and tubers,Maize meal (local),Marmite,actual,Retail,HTG,600,2024-01-15,2024-02-14
HTI,True,True,North-West,Port-de-Paix,HT09,North-West,HT0911,Port-de-Paix,2,Port-de-Paix,19.94,-72.83,cereals and tubers,Sorghum,Marmite,actual,Retail,HTG,600,2024-01-15,2024-02-14
HTI,True,True,North-West,Port-de-Paix,HT09,North-West,HT0911,Port-de-Paix,2,Port-de-Paix,19.94,-72.83,miscellaneous food,Sugar (white),Marmite,actual,Retail,HTG,1200,2024-01-15,2024-02-14
HTI,True,True,North-West,Port-de-Paix,HT09,North-West,HT0911,Port-de-Paix,2,Port-de-Paix,19.94,-72.83,oil and fats,"Oil (vegetable, imported)",Gallon,actual,Retail,HTG,1780,2024-01-15,2024-02-14
HTI,True,True,North-West,Port-de-Paix,HT09,North-West,HT0911,Port-de-Paix,2,Port-de-Paix,19.94,-72.83,pulses and nuts,Beans (red),Marmite,actual,Retail,HTG,1350,2024-01-15,2024-02-14
HTI,True,True,South,Les Cayes,HT07,South,HT0711,Les Cayes,2,Cayes,18.2,-73.75,oil and fats,"Oil (vegetable, imported)",Gallon,actual,Retail,HTG,2100,2024-01-15,2024-02-14
HTI,True,True,South,Les Cayes,HT07,South,HT0711,Les Cayes,2,Cayes,18.2,-73.75,pulses and nuts,Beans (red),Marmite,actual,Retail,HTG,1175,2024-01-15,2024-02-14
HTI,True,True,South-East,Jacmel,HT02,South-East,HT0211,Jacmel,2,Jacmel,18.23,-72.53,cereals and tubers,Maize meal (local),Marmite,actual,Retail,HTG,642,2024-01-15,2024-02-14
HTI,True,True,South-East,Jacmel,HT02,South-East,HT0211,Jacmel,2,Jacmel,18.23,-72.53,cereals and tubers,Wheat flour (imported),Marmite,actual,Retail,HTG,750,2024-01-15,2024-02-14
HTI,True,True,South-East,Jacmel,HT02,South-East,HT0211,Jacmel,2,Jacmel,18.23,-72.53,miscellaneous food,Sugar (white),Marmite,actual,Retail,HTG,846,2024-01-15,2024-02-14
HTI,True,True,South-East,Jacmel,HT02,South-East,HT0211,Jacmel,2,Jacmel,18.23,-72.53,pulses and nuts,Beans (red),Marmite,actual,Retail,HTG,1320,2024-01-15,2024-02-14
HTI,True,True,West,Port-au-Prince,HT01,West,HT0111,Port-au-Prince,2,Port-au-Prince,18.54,-72.33,cereals and tubers,Pasta,350 G,actual,Retail,HTG,125.4,2024-01-15,2024-02-14
HTI,True,True,West,Port-au-Prince,HT01,West,HT0111,Port-au-Prince,2,Port-au-Prince,18.54,-72.33,cereals and tubers,Rice (tchako),Marmite,actual,Retail,HTG,700,2024-01-15,2024-02-14
HTI,True,True,West,Port-au-Prince,HT01,West,HT0111,Port-au-Prince,2,Port-au-Prince,18.54,-72.33,cereals and tubers,Sorghum,Marmite,actual,Retail,HTG,740,2024-01-15,2024-02-14
HTI,True,True,West,Port-au-Prince,HT01,West,HT0111,Port-au-Prince,2,Port-au-Prince,18.54,-72.33,cereals and tubers,Wheat flour (imported),Marmite,actual,Retail,HTG,600,2024-01-15,2024-02-14
HTI,True,True,West,Port-au-Prince,HT01,West,HT0111,Port-au-Prince,2,Port-au-Prince,18.54,-72.33,oil and fats,"Oil (vegetable, imported)",Gallon,actual,Retail,HTG,1690,2024-01-15,2024-02-14
HTI,True,True,West,Port-au-Prince,HT01,West,HT0111,Port-au-Prince,2,Port-au-Prince,18.54,-72.33,pulses and nuts,Beans (black),Marmite,actual,Retail,HTG,1080,2024-01-15,2024-02-14
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,cereals and tubers,Maize meal (local),Marmite,actual,Retail,HTG,500,2024-02-15,2024-03-14
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,cereals and tubers,Rice (local),Marmite,actual,Retail,HTG,750,2024-02-15,2024-03-14
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,cereals and tubers,Sorghum,Marmite,actual,Retail,HTG,600,2024-02-15,2024-03-14
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,miscellaneous food,Sugar (white),Marmite,actual,Retail,HTG,675,2024-02-15,2024-03-14
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,Gonaives,19.45,-72.68,pulses and nuts,Beans (red),Marmite,actual,Retail,HTG,1300,2024-02-15,2024-03-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,cereals and tubers,Maize meal (local),Marmite,actual,Retail,HTG,487.5,2024-02-15,2024-03-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,cereals and tubers,Rice (local),Marmite,actual,Retail,HTG,1000,2024-02-15,2024-03-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,cereals and tubers,Sorghum,Marmite,actual,Retail,HTG,700,2024-02-15,2024-03-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,cereals and tubers,Wheat flour (imported),Marmite,actual,Retail,HTG,400,2024-02-15,2024-03-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,pulses and nuts,Beans (black),Marmite,actual,Retail,HTG,1150,2024-02-15,2024-03-14
HTI,True,True,Centre,Hinche,HT06,Centre,HT0611,Hinche,2,Hinche,19.15,-72.02,pulses and nuts,Beans (red),Marmite,actual,Retail,HTG,1050,2024-02-15,2024-03-14
