location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#severity+v_ipc,#period+v_ipc,#affected+num,#affected+pct,#date+start,#date+end
HTI,True,True,,,,,,,0,all,first projection,11214605,1.0,2025-03-01,2025-06-30
HTI,True,True,,,,,,,0,3+,first projection,5714300,0.51,2025-03-01,2025-06-30
HTI,True,True,,,,,,,0,1,first projection,2604872,0.23,2025-03-01,2025-06-30
HTI,True,True,,,,,,,0,2,first projection,2895434,0.26,2025-03-01,2025-06-30
HTI,True,True,,,,,,,0,3,first projection,3604975,0.32,2025-03-01,2025-06-30
HTI,True,True,,,,,,,0,4,first projection,2100893,0.19,2025-03-01,2025-06-30
HTI,True,True,,,,,,,0,5,first projection,8431,0.0,2025-03-01,2025-06-30
HTI,True,True,,,,,,,0,all,current,11214605,1.0,2024-08-01,2025-02-28
HTI,True,True,,,,,,,0,3+,current,5407898,0.48,2024-08-01,2025-02-28
HTI,True,True,,,,,,,0,1,current,2749682,0.25,2024-08-01,2025-02-28
HTI,True,True,,,,,,,0,2,current,3057026,0.27,2024-08-01,2025-02-28
HTI,True,True,,,,,,,0,3,current,3400350,0.3,2024-08-01,2025-02-28
HTI,True,True,,,,,,,0,4,current,2001911,0.18,2024-08-01,2025-02-28
HTI,True,True,,,,,,,0,5,current,5636,0.0,2024-08-01,2025-02-28
HTI,True,True,,,,,,,0,all,first projection,9906757,1.0,2024-03-01,2024-06-30
HTI,True,True,,,,,,,0,3+,first projection,4966090,0.5,2024-03-01,2024-06-30
HTI,True,True,,,,,,,0,1,first projection,2574239,0.26,2024-03-01,2024-06-30
HTI,True,True,,,,,,,0,2,first projection,2366427,0.24,2024-03-01,2024-06-30
HTI,True,True,,,,,,,0,3,first projection,3321110,0.33,2024-03-01,2024-06-30
HTI,True,True,,,,,,,0,4,first projection,1644981,0.17,2024-03-01,2024-06-30
HTI,True,True,,,,,,,0,5,first projection,0,0.0,2024-03-01,2024-06-30
HTI,True,True,,,,,,,0,all,current,9906757,1.0,2023-08-01,2024-02-29
HTI,True,True,,,,,,,0,3+,current,4346137,0.44,2023-08-01,2024-02-29
HTI,True,True,,,,,,,0,1,current,2742982,0.28,2023-08-01,2024-02-29
HTI,True,True,,,,,,,0,2,current,2817638,0.28,2023-08-01,2024-02-29
HTI,True,True,,,,,,,0,3,current,2944664,0.3,2023-08-01,2024-02-29
HTI,True,True,,,,,,,0,4,current,1401473,0.14,2023-08-01,2024-02-29
HTI,True,True,,,,,,,0,5,current,0,0.0,2023-08-01,2024-02-29
HTI,True,True,,,,,,,0,all,first projection,9906757,1.0,2023-03-01,2023-06-30
HTI,True,True,,,,,,,0,3+,first projection,4890233,0.49,2023-03-01,2023-06-30
HTI,True,True,,,,,,,0,1,first projection,2346733,0.24,2023-03-01,2023-06-30
HTI,True,True,,,,,,,0,2,first projection,2669791,0.27,2023-03-01,2023-06-30
HTI,True,True,,,,,,,0,3,first projection,3082278,0.31,2023-03-01,2023-06-30
HTI,True,True,,,,,,,0,4,first projection,1807955,0.18,2023-03-01,2023-06-30
HTI,True,True,,,,,,,0,5,first projection,0,0.0,2023-03-01,2023-06-30
HTI,True,True,,,,,,,0,all,current,9906757,1.0,2022-09-01,2023-02-28
HTI,True,True,,,,,,,0,3+,current,4724394,0.48,2022-09-01,2023-02-28
HTI,True,True,,,,,,,0,1,current,2397489,0.24,2022-09-01,2023-02-28
HTI,True,True,,,,,,,0,2,current,2784874,0.28,2022-09-01,2023-02-28
HTI,True,True,,,,,,,0,3,current,2891240,0.29,2022-09-01,2023-02-28
HTI,True,True,,,,,,,0,4,current,1813948,0.18,2022-09-01,2023-02-28
HTI,True,True,,,,,,,0,5,current,19206,0.0,2022-09-01,2023-02-28
HTI,True,True,,,,,,,0,all,first projection,9906757,1.0,2022-03-01,2022-06-30
HTI,True,True,,,,,,,0,3+,first projection,4495852,0.45,2022-03-01,2022-06-30
HTI,True,True,,,,,,,0,1,first projection,2758414,0.28,2022-03-01,2022-06-30
HTI,True,True,,,,,,,0,2,first projection,2652491,0.27,2022-03-01,2022-06-30
HTI,True,True,,,,,,,0,3,first projection,3178226,0.32,2022-03-01,2022-06-30
HTI,True,True,,,,,,,0,4,first projection,1317626,0.13,2022-03-01,2022-06-30
HTI,True,True,,,,,,,0,5,first projection,0,0.0,2022-03-01,2022-06-30
HTI,True,True,,,,,,,0,all,current,9906757,1.0,2021-09-01,2022-02-28
HTI,True,True,,,,,,,0,3+,current,4333426,0.44,2021-09-01,2022-02-28
HTI,True,True,,,,,,,0,1,current,2817961,0.28,2021-09-01,2022-02-28
HTI,True,True,,,,,,,0,2,current,2747687,0.28,2021-09-01,2022-02-28
HTI,True,True,,,,,,,0,3,current,2995664,0.3,2021-09-01,2022-02-28
HTI,True,True,,,,,,,0,4,current,1337763,0.14,2021-09-01,2022-02-28
HTI,True,True,,,,,,,0,5,current,0,0.0,2021-09-01,2022-02-28
HTI,True,True,,,,,,,0,all,current,9536143,1.0,2020-08-01,2021-02-28
HTI,True,True,,,,,,,0,3+,current,3988968,0.41,2020-08-01,2021-02-28
HTI,True,True,,,,,,,0,1,current,2525541,0.26,2020-08-01,2021-02-28
HTI,True,True,,,,,,,0,2,current,3021634,0.32,2020-08-01,2021-02-28
HTI,True,True,,,,,,,0,3,current,3083497,0.32,2020-08-01,2021-02-28
HTI,True,True,,,,,,,0,4,current,905471,0.09,2020-08-01,2021-02-28
HTI,True,True,,,,,,,0,5,current,0,0.0,2020-08-01,2021-02-28
HTI,True,True,,,,,,,0,all,first projection,9536143,1.0,2021-03-01,2021-06-30
HTI,True,True,,,,,,,0,3+,first projection,4355735,0.46,2021-03-01,2021-06-30
HTI,True,True,,,,,,,0,1,first projection,2371987,0.25,2021-03-01,2021-06-30
HTI,True,True,,,,,,,0,2,first projection,2808421,0.29,2021-03-01,2021-06-30
HTI,True,True,,,,,,,0,3,first projection,3198820,0.34,2021-03-01,2021-06-30
HTI,True,True,,,,,,,0,4,first projection,1156915,0.12,2021-03-01,2021-06-30
HTI,True,True,,,,,,,0,5,first projection,0,0.0,2021-03-01,2021-06-30
HTI,True,True,,,,,,,0,all,current,10450082,1.0,2019-10-01,2020-02-29
HTI,True,True,,,,,,,0,3+,current,3673127,0.35,2019-10-01,2020-02-29
HTI,True,True,,,,,,,0,1,current,3537028,0.34,2019-10-01,2020-02-29
HTI,True,True,,,,,,,0,2,current,3239874,0.31,2019-10-01,2020-02-29
HTI,True,True,,,,,,,0,3,current,2627469,0.25,2019-10-01,2020-02-29
HTI,True,True,,,,,,,0,4,current,1045658,0.1,2019-10-01,2020-02-29
HTI,True,True,,,,,,,0,5,current,0,0.0,2019-10-01,2020-02-29
HTI,True,True,,,,,,,0,all,first projection,10450082,1.0,2020-03-01,2020-06-30
HTI,True,True,,,,,,,0,3+,first projection,4101280,0.4,2020-03-01,2020-06-30
HTI,True,True,,,,,,,0,1,first projection,3546777,0.33,2020-03-01,2020-06-30
HTI,True,True,,,,,,,0,2,first projection,2799105,0.27,2020-03-01,2020-06-30
HTI,True,True,,,,,,,0,3,first projection,2897997,0.28,2020-03-01,2020-06-30
HTI,True,True,,,,,,,0,4,first projection,1203283,0.12,2020-03-01,2020-06-30
HTI,True,True,,,,,,,0,5,first projection,0,0.0,2020-03-01,2020-06-30
HTI,True,True,,,,,,,0,all,current,6977934,1.0,2018-10-01,2019-02-28
HTI,True,True,,,,,,,0,3+,current,2258982,0.33,2018-10-01,2019-02-28
HTI,True,True,,,,,,,0,1,current,2302432,0.33,2018-10-01,2019-02-28
HTI,True,True,,,,,,,0,2,current,2416520,0.35,2018-10-01,2019-02-28
HTI,True,True,,,,,,,0,3,current,1872616,0.27,2018-10-01,2019-02-28
HTI,True,True,,,,,,,0,4,current,386366,0.06,2018-10-01,2019-02-28
HTI,True,True,,,,,,,0,5,current,0,0.0,2018-10-01,2019-02-28
HTI,True,True,,,,,,,0,all,first projection,6977934,1.0,2019-03-01,2019-06-30
HTI,True,True,,,,,,,0,3+,first projection,2625289,0.37,2019-03-01,2019-06-30
HTI,True,True,,,,,,,0,1,first projection,1938387,0.28,2019-03-01,2019-06-30
HTI,True,True,,,,,,,0,2,first projection,2414258,0.35,2019-03-01,2019-06-30
HTI,True,True,,,,,,,0,3,first projection,2054160,0.29,2019-03-01,2019-06-30
HTI,True,True,,,,,,,0,4,first projection,571129,0.08,2019-03-01,2019-06-30
HTI,True,True,,,,,,,0,5,first projection,0,0.0,2019-03-01,2019-06-30
HTI,True,True,,,,,,,0,all,current,7425945,1.0,2017-10-01,2018-02-28
HTI,True,True,,,,,,,0,3+,current,1321776,0.18,2017-10-01,2018-02-28
HTI,True,True,,,,,,,0,1,current,3011451,0.4,2017-10-01,2018-02-28
HTI,True,True,,,,,,,0,2,current,3092718,0.42,2017-10-01,2018-02-28
HTI,True,True,,,,,,,0,3,current,1188918,0.16,2017-10-01,2018-02-28
HTI,True,True,,,,,,,0,4,current,132858,0.02,2017-10-01,2018-02-28
HTI,True,True,,,,,,,0,5,current,0,0.0,2017-10-01,2018-02-28
HTI,True,True,,,,,,,0,all,current,7555113,1.0,2017-02-01,2017-05-31
HTI,True,True,,,,,,,0,3+,current,2347103,0.31,2017-02-01,2017-05-31
HTI,True,True,,,,,,,0,1,current,1732455,0.23,2017-02-01,2017-05-31
HTI,True,True,,,,,,,0,2,current,3475555,0.46,2017-02-01,2017-05-31
HTI,True,True,,,,,,,0,3,current,1689421,0.22,2017-02-01,2017-05-31
HTI,True,True,,,,,,,0,4,current,657682,0.09,2017-02-01,2017-05-31
HTI,True,True,,,,,,,0,5,current,0,0.0,2017-02-01,2017-05-31
HTI,True,True,,,,,,,0,all,first projection,7555113,1.0,2017-06-01,2017-09-30
HTI,True,True,,,,,,,0,3+,first projection,379780,0.05,2017-06-01,2017-09-30
