location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,org_acronym,org_name,org_type_description,sector_code,sector_name,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#org+acronym,#org+name,#org+type,#sector+cluster+code,#sector+cluster+name,#date+start,#date+end
HTI,True,True,Centre,Thomonde,HT06,Centre,HT0613,Thomonde,2,ZL,Zanmi Lasante,National NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,North-East,Ferrier,HT04,North-East,HT0412,Ferrier,2,CAID,Christian Aid,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Anse Rouge,HT05,Artibonite,HT0523,Anse Rouge,2,ACF,Action against Hunger,International NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Anse Rouge,HT05,Artibonite,HT0523,Anse Rouge,2,GREFACOOP,GREFACOOP,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Anse Rouge,HT05,Artibonite,HT0523,Anse Rouge,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Anse Rouge,HT05,Artibonite,HT0523,Anse Rouge,2,SOFA,Solidarite Fanm Ayisyèn,Civil Society,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Anse Rouge,HT05,Artibonite,HT0523,Anse Rouge,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Desdunes,HT05,Artibonite,HT0544,Desdunes,2,AIDES,AIDES,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Desdunes,HT05,Artibonite,HT0544,Desdunes,2,AIDES,AIDES,National NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Desdunes,HT05,Artibonite,HT0544,Desdunes,2,FAES,Fonds d'assistance économique et sociale,Government,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Dessalines,HT05,Artibonite,HT0541,Dessalines,2,ACTED,Agency for Technical Cooperation and Development,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Dessalines,HT05,Artibonite,HT0541,Dessalines,2,IMA WH,IMA World Health,International NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Dessalines,HT05,Artibonite,HT0541,Dessalines,2,IOM,International Organization for Migration,United Nations,SHL,Emergency Shelter and NFI,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Dessalines,HT05,Artibonite,HT0541,Dessalines,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,HEA,Health,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Dessalines,HT05,Artibonite,HT0541,Dessalines,2,RANEPH,Rassemblement National pour l'évolution de la pêche en Haïti,National NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Dessalines,HT05,Artibonite,HT0541,Dessalines,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Ennery,HT05,Artibonite,HT0512,Ennery,2,ACF,Action against Hunger,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Ennery,HT05,Artibonite,HT0512,Ennery,2,CARITAS Haiti,Caritas Haiti,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Ennery,HT05,Artibonite,HT0512,Ennery,2,FAO,Food and Agriculture Organization,United Nations,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Ennery,HT05,Artibonite,HT0512,Ennery,2,MFPEJA,Mouvement des Femmes Progressistes pour l’Encadrement des Jeunes et Adultes ,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Ennery,HT05,Artibonite,HT0512,Ennery,2,OFAGOFADEN,OFAGOFADEN,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Ennery,HT05,Artibonite,HT0512,Ennery,2,SOFA,Solidarite Fanm Ayisyèn,Civil Society,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Ennery,HT05,Artibonite,HT0512,Ennery,2,SOFA,Solidarite Fanm Ayisyèn,Civil Society,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Ennery,HT05,Artibonite,HT0512,Ennery,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Ennery,HT05,Artibonite,HT0512,Ennery,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,ACF,Action against Hunger,International NGO,PRO,Protection,2025-01-01,2025-02-28
