provider_admin1_name,provider_admin2_name,liv_name,adm1_final,adm1_1_final,adm2_final,adm2_1_final,lz_code1,lz_code2,lz_code3,Plotting_Level
,,National,National,,,,,,,1
,artibonite ht03,Artibonite HT03,Artibonite,Artibonite,,,HT03,HT03,HT03,3
,artibonite ht04,Artibonite HT04,Artibonite,Artibonite,,,HT04,HT04,HT04,3
,centre ht03,Centre HT03,Centre,Centre,,,HT03,HT03,HT03,3
,grande anse ht07,Grande'Anse HT07,Grande'Anse,Grande'Anse,,,HT07,HT07,HT07,3
,grande anse ht08,Grande'Anse HT08,Grande'Anse,Grande'Anse,,,HT08,HT08,HT08,3
,la gonave & artibon ht01,La Gonave & Artibonite,Artibonite,West,Anse a Galets,Pointe a Raquette,HT01,HT01,HT01,3
,nippes ht01,Nippes HT01,Nippes,Nippes,,,HT01,HT01,HT01,3
,nippes ht07,Nippes HT07,Nippes,Nippes,,,HT07,HT07,HT07,3
,nord est ht02,North-East HT02,North-East,North-East,,,HT02,HT02,HT02,3
,nord ht02,North HT02,North,North,,,HT02,HT02,HT02,3
,nord ouest ht01,North-West HT01,North-West,North-West,,,HT01,HT01,HT01,3
,nord ouest ht02,North-West HT02,North-West,North-West,,,HT02,HT02,HT02,3
,ouest ht05,West HT05,West,West,,,HT05,HT05,HT05,3
,ouest ht06,West HT06,West,West,,,HT06,HT06,HT06,3
,ouest ht07,West HT07,West,West,,,HT07,HT07,HT07,3
,sud est ht01,South HT01,South,South,,,HT01,HT01,HT01,3
,sud est ht07,South HT07,South,South,,,HT07,HT07,HT07,3
,sud ht01,South HT01,South,South,,,HT01,HT01,HT01,3
,sud ht07,South HT07,South,South,,,HT07,HT07,HT07,3
,sud ht08,South HT08,South,South,,,HT08,HT08,HT08,3
,ville de jérémie,Jeremie,Grande'Anse,Grande'Anse,Jeremie,Jeremie,HT08,HT08,HT08,4
,ville des cayes,Les Cayes,South,South,Les Cayes,Les Cayes,HT07,HT07,HT07,4
artibonite,,Artibonite,Artibonite,Artibonite,,,,,,2
artibonite,artibonite ht01,Artibonite HT01,Artibonite,Artibonite,,,HT01,HT01,HT01,3
artibonite,artibonite ht01 ht05,Artibonite HT01 HT05,Artibonite,Artibonite,,,HT01,HT05,HT05,3
artibonite,artibonite ht01 ht05 ht08,Artibonite HT01 HT05 HT08,Artibonite,Artibonite,,,HT01,HT05,HT08,3
artibonite,artibonite ht03,Artibonite HT03,Artibonite,Artibonite,,,HT03,HT03,HT03,3
artibonite,artibonite ht04,Artibonite HT04,Artibonite,Artibonite,,,HT04,HT04,HT04,3
artibonite,ville des gonaives,Gonaives,Artibonite,Artibonite,Gonaives,Gonaives,HT09,HT09,HT09,4
carrefour,,Carrefour,West,West,Carrefour,Carrefour,HT07,HT07,HT07,4
carrefour,ca1 ouest ht07,Carrefour HT07,West,West,Carrefour,Carrefour,HT07,HT07,HT07,4
carrefour,ca2 ouest ht07,Carrefour HT07,West,West,Carrefour,Carrefour,HT07,HT07,HT07,4
carrefour,ca3 ouest ht07,Carrefour HT07,West,West,Carrefour,Carrefour,HT07,HT07,HT07,4
carrefour,carrefour p tp,Carrefour P_TP,West,West,Carrefour,Carrefour,HT07,HT07,HT07,4
centre,,Centre,Centre,Centre,,,,,,2
centre,bas plateau ht03,Centre Bas plateau HT03,Centre,Centre,,,HT03,HT03,HT03,3
centre,centre ht03,Centre HT03,Centre,Centre,,,HT03,HT03,HT03,3
centre,haut plateau ht03,Centre HT03,Centre,Centre,,,HT03,HT03,HT03,3
centre,haut plateau ht04,Centre HT04,Centre,Centre,,,HT04,HT04,HT04,3
cite soleil,,Cite Soleil,West,West,Cite Soleil,Cite Soleil,HT07,HT07,HT07,4
cite soleil,cite soleil p tp,Cite Soleil Cite Soleil P_TP,West,West,Cite Soleil,Cite Soleil,HT07,HT07,HT07,4
cité soleil,,Cite Soleil,West,West,Cite Soleil,Cite Soleil,HT07,HT07,HT07,4
cité soleil,cs1 ouest ht07,Cite Soleil 1 HT07,West,West,Cite Soleil,Cite Soleil,HT07,HT07,HT07,4
cité soleil,cs2 ouest ht07,Cite Soleil 2 HT07,West,West,Cite Soleil,Cite Soleil,HT07,HT07,HT07,4
croix des bouquets,,Croix-Des-Bouquets,West,West,Croix-Des-Bouquets,Croix-Des-Bouquets,HT07,HT07,HT07,4
croix des bouquets,croix de bouquet p tp,Croix-Des-Bouquets P_ TP,West,West,Croix-Des-Bouquets,Croix-Des-Bouquets,HT07,HT07,HT07,4
croix des bouquets,cxb1 ouest ht07,Croix-Des-Bouquets  1 HT07,West,West,Croix-Des-Bouquets,Croix-Des-Bouquets,HT07,HT07,HT07,4
croix des bouquets,cxb2 ouest ht07,Croix-Des-Bouquets  2 HT07,West,West,Croix-Des-Bouquets,Croix-Des-Bouquets,HT07,HT07,HT07,4
croix des bouquets,cxb3 ouest ht07,Croix-Des-Bouquets  3 HT07,West,West,Croix-Des-Bouquets,Croix-Des-Bouquets,HT07,HT07,HT07,4
delmas,,Delmas,West,West,Delmas,Delmas,HT09,HT09,HT09,4
delmas,de1 zone métropolitaine,Delmas 1,West,West,Delmas,Delmas,HT09,HT09,HT09,4
delmas,de2 zone métropolitaine,Delmas 2,West,West,Delmas,Delmas,HT09,HT09,HT09,4
delmas,de3 zone métropolitaine,Delmas 3,West,West,Delmas,Delmas,HT09,HT09,HT09,4
delmas,delmas p tp,Delmas P_TP,West,West,Delmas,Delmas,HT09,HT09,HT09,4
grand anse,,Grande'Anse,Grande'Anse,Grande'Anse,,,,,,2
