provider_admin1_name,provider_admin2_name,liv_name,adm1_final,adm1_1_final,adm2_final,adm2_1_final,lz_code1,lz_code2,lz_code3,Plotting_Level
,,National,,,,,,,,
,artibonite ht03,Artibonite HT03,Artibonite,,,,HT03,HT03,HT03,
,artibonite ht04,Artibonite HT04,Artibonite,,,,HT04,HT04,HT04,
,centre ht03,Centre HT03,Centre,,,,HT03,HT03,HT03,
,grande anse ht07,Grande'Anse HT07,Grande'Anse,,,,HT07,HT07,HT07,
,grande anse ht08,Grande'Anse HT08,Grande'Anse,,,,HT08,HT08,HT08,
,la gonave & artibon ht01,Petit-Goave HT01,West,,Petit-Goave,,HT01,HT01,HT01,
,nippes ht01,Nippes HT01,Nippes,,,,HT01,HT01,HT01,
,nippes ht07,Nippes HT07,Nippes,,,,HT07,HT07,HT07,
,nord est ht02,North-East HT02,North-East,,,,HT02,HT02,HT02,
,nord ht02,North HT02,North,,,,HT02,HT02,HT02,
,nord ouest ht01,North-West HT01,North-West,,,,HT01,HT01,HT01,
,nord ouest ht02,North-West HT02,North-West,,,,HT02,HT02,HT02,
,ouest ht05,West HT05,West,,,,HT05,HT05,HT05,
,ouest ht06,West HT06,West,,,,HT06,HT06,HT06,
,ouest ht07,West HT07,West,,,,HT07,HT07,HT07,
,sud est ht01,South HT01,South,,,,HT01,HT01,HT01,
,sud est ht07,South HT07,South,,,,HT07,HT07,HT07,
,sud ht01,South HT01,South,,,,HT01,HT01,HT01,
,sud ht07,South HT07,South,,,,HT07,HT07,HT07,
,sud ht08,South HT08,South,,,,HT08,HT08,HT08,
,ville de jérémie,Les Irois,Grande'Anse,,Les Irois,,,,,
,ville des cayes,Les Cayes,South,,Les Cayes,,,,,
artibonite,,Artibonite,Artibonite,,,,,,,
artibonite,artibonite ht01,Artibonite HT01,Artibonite,,,,HT01,HT01,HT01,
artibonite,artibonite ht01 ht05,Artibonite HT01 HT05,Artibonite,,,,HT01,HT05,HT05,
artibonite,artibonite ht01 ht05 ht08,Artibonite HT01 HT05 HT08,Artibonite,,,,HT01,HT05,HT08,
artibonite,artibonite ht03,Artibonite HT03,Artibonite,,,,HT03,HT03,HT03,
artibonite,artibonite ht04,Artibonite HT04,Artibonite,,,,HT04,HT04,HT04,
artibonite,ville des gonaives,Petit-Goave,West,,Petit-Goave,,,,,
carrefour,,Carrefour,West,,Carrefour,,,,,
carrefour,ca1 ouest ht07,Carrefour HT07,West,,Carrefour,,HT07,HT07,HT07,
carrefour,ca2 ouest ht07,Carrefour HT07,West,,Carrefour,,HT07,HT07,HT07,
carrefour,ca3 ouest ht07,Carrefour HT07,West,,Carrefour,,HT07,HT07,HT07,
carrefour,carrefour p tp,Carrefour P+TP,West,,Carrefour,,HT09,HT09,HT09,
centre,,Centre,Centre,,,,,,,
centre,bas plateau ht03,Centre Bas plateau HT03,,,,,HT03,HT03,HT03,
centre,centre ht03,Centre HT03,Centre,,,,HT03,HT03,HT03,
centre,haut plateau ht03,Centre HT03,Centre,,,,HT03,HT03,HT03,
centre,haut plateau ht04,Centre HT04,Centre,,,,HT04,HT04,HT04,
cite soleil,,Cite Soleil,West,,Cite Soleil,,,,,
cite soleil,cite soleil p tp,Cite Soleil Cite Soleil P_TP,,,,,,,,
cité soleil,,Cité_Soleil,,,,,,,,
